query	pmid	title	journal	pubdate
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	35044810	CALGB 40603 (Alliance): Long-Term Outcomes and Genomic Correlates of Response and Survival After Neoadjuvant Chemotherapy With or Without Carboplatin and Bevacizumab in Triple-Negative Breast Cancer.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2022
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	34737209	TP53 Pathway Function, Estrogen Receptor Status, and Breast Cancer Risk Factors in the Carolina Breast Cancer Study.	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	2022
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	33442657	Outcomes of Hormone-Receptor Positive, HER2-Negative Breast Cancers by Race and Tumor Biological Features.	JNCI cancer spectrum	2021
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	33095682	Survival, Pathologic Response, and Genomics in CALGB 40601 (Alliance), a Neoadjuvant Phase III Trial of Paclitaxel-Trastuzumab With or Without Lapatinib in HER2-Positive Breast Cancer.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2020
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	31992194	Virus expression detection reveals RNA-sequencing contamination in TCGA.	BMC genomics	2020
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	31827079	Genetic determinants of the molecular portraits of epithelial cancers.	Nature communications	2019
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	31159741	Breast cancer PAM50 signature: correlation and concordance between RNA-Seq and digital multiplexed gene expression technologies in a triple negative breast cancer series.	BMC genomics	2019
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	31061067	The Immune Microenvironment in Hormone Receptor-Positive Breast Cancer Before and After Preoperative Chemotherapy.	Clinical cancer research : an official journal of the American Association for Cancer Research	2019
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	30617775	Differences in race, molecular and tumor characteristics among women diagnosed with invasive ductal and lobular breast carcinomas.	Cancer causes & control : CCC	2019
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	30386679	Tumor mutational burden is a determinant of immune-mediated survival in breast cancer.	Oncoimmunology	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	30089255	Functional Annotation of ESR1 Gene Fusions in Estrogen Receptor-Positive Breast Cancer.	Cell reports	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	30037817	Integrated Analysis of RNA and DNA from the Phase III Trial CALGB 40601 Identifies Predictors of Response to Trastuzumab-Based Neoadjuvant Chemotherapy in HER2-Positive Breast Cancer.	Clinical cancer research : an official journal of the American Association for Cancer Research	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	29951581	TP53 protein levels, RNA-based pathway assessment, and race among invasive breast cancer cases.	NPJ breast cancer	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	29713086	Carboplatin in BRCA1/2-mutated and triple-negative breast cancer BRCAness subgroups: the TNT Trial.	Nature medicine	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	29480819	Integrated RNA and DNA sequencing reveals early drivers of metastatic breast cancer.	The Journal of clinical investigation	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	29378733	Pathological Response in a Triple-Negative Breast Cancer Cohort Treated with Neoadjuvant Carboplatin and Docetaxel According to Lehmann's Refined Classification.	Clinical cancer research : an official journal of the American Association for Cancer Research	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	29124544	Reproductive risk factor associations with lobular and ductal carcinoma in the Carolina Breast Cancer Study.	Cancer causes & control : CCC	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	28859290	Racial Differences in PAM50 Subtypes in the Carolina Breast Cancer Study.	Journal of the National Cancer Institute	2018
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	28649649	Patterns of cell cycle checkpoint deregulation associated with intrinsic molecular subtypes of human breast cancer cells.	NPJ breast cancer	2017
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	28472234	Comparison of Breast Cancer Molecular Features and Survival by African and European Ancestry in The Cancer Genome Atlas.	JAMA oncology	2017
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	28176176	Amplification of SOX4 promotes PI3K/Akt signaling in human breast cancer.	Breast cancer research and treatment	2017
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	27923045	Tumor Evolution in Two Patients with Basal-like Breast Cancer: A Retrospective Genomics Study of Multiple Metastases.	PLoS medicine	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	27861902	The molecular basis of breast cancer pathological phenotypes.	The Journal of pathology	2017
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	27856957	Nuclear Localized LSR: A Novel Regulator of Breast Cancer Behavior and Tumorigenesis.	Molecular cancer research : MCR	2017
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	27853751	Quantitative MRI radiomics in the prediction of molecular classifications of breast cancer subtypes in the TCGA/TCIA data set.	NPJ breast cancer	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	27335052	Genomic Analysis of Immune Cell Infiltrates Across 11 Tumor Types.	Journal of the National Cancer Institute	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	28721375	DNA defects, epigenetics, and gene expression in cancer-adjacent breast: a study from The Cancer Genome Atlas.	NPJ breast cancer	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	26939613	Identification of mRNA isoform switching in breast cancer.	BMC genomics	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	26686626	Oncometabolite D-2-Hydroxyglutarate Inhibits ALKBH DNA Repair Enzymes and Sensitizes IDH Mutant Cells to Alkylating Agents.	Cell reports	2015
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	26684470	Response and survival of breast cancer intrinsic subtypes following multi-agent neoadjuvant chemotherapy.	BMC medicine	2015
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	26527775	Molecular Heterogeneity and Response to Neoadjuvant Human Epidermal Growth Factor Receptor 2 Targeting in CALGB 40601, a Randomized Phase III Trial of Paclitaxel Plus Trastuzumab With or Without Lapatinib.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2016
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	26451490	Comprehensive Molecular Portraits of Invasive Lobular Breast Cancer.	Cell	2015
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	25109877	Multiplatform analysis of 12 cancer types reveals molecular classification within and across tissues of origin.	Cell	2014
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	24970867	Integrated RNA and DNA sequencing improves mutation detection in low purity tumors.	Nucleic acids research	2014
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	24916698	Prognostic B-cell signatures using mRNA-seq in patients with subtype-specific breast and ovarian cancer.	Clinical cancer research : an official journal of the American Association for Cancer Research	2014
(Hoadley Katherine [AUTH] University of North Carolina [AFFL] OR Hoadley K [AUTH] University of North Carolina [AFFL]) AND (Perou Charles [AUTH] University of North Carolina [AFFL] OR Perou C [AUTH] University of North Carolina [AFFL])	24888378	Comparison of RNA-Seq by poly (A) capture, ribosomal RNA depletion, and DNA microarray for expression profiling.	BMC genomics	2014
(Huang Leaf [AUTH] University of North Carolina [AFFL] OR Huang L [AUTH] University of North Carolina [AFFL]) AND (Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL])	29127106	A melanin-mediated cancer immunotherapy patch.	Science immunology	2017
(Huang Leaf [AUTH] University of North Carolina [AFFL] OR Huang L [AUTH] University of North Carolina [AFFL]) AND (Shen Dinggang [AUTH] University of North Carolina [AFFL] OR Shen D [AUTH] University of North Carolina [AFFL])	27500865	Longitudinal clinical score prediction in Alzheimer's disease with soft-split sparse regression based random forest.	Neurobiology of aging	2016
(Huang Leaf [AUTH] University of North Carolina [AFFL] OR Huang L [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	34583667	Effectiveness of sexual health influencers identified by an ensemble machine learning model in promoting secondary distribution of HIV self-testing among men who have sex with men in China: study protocol for a quasi-experimental trial.	BMC public health	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	35862771	A Multitrait Locus Regulates Sarbecovirus Pathogenesis.	mBio	2022
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	33184236	SARS-CoV-2 D614G variant exhibits efficient replication ex vivo and transmission in vivo.	Science (New York, N.Y.)	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	33046644	Swine acute diarrhea syndrome coronavirus replication in primary human cells reveals potential susceptibility to infection.	Proceedings of the National Academy of Sciences of the United States of America	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	32668216	Remdesivir Inhibits SARS-CoV-2 in Human Lung Cells and Chimeric SARS-CoV Expressing the SARS-CoV-2 RNA Polymerase in Mice.	Cell reports	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	32253226	An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 in human airway epithelial cell cultures and multiple coronaviruses in mice.	Science translational medicine	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	29976657	Combination Attenuation Offers Strategy for Live Attenuated Coronavirus Vaccines.	Journal of virology	2018
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	29152578	Middle East Respiratory Syndrome Coronavirus Nonstructural Protein 16 Is Necessary for Interferon Resistance and Viral Pathogenesis.	mSphere	2017
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Graham Rachel [AUTH] University of North Carolina [AFFL] OR Graham R [AUTH] University of North Carolina [AFFL])	28659436	Broad-spectrum antiviral GS-5734 inhibits both epidemic and zoonotic coronaviruses.	Science translational medicine	2017
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	36192374	IgG-like bispecific antibodies with potent and synergistic neutralization against circulating SARS-CoV-2 variants of concern.	Nature communications	2022
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	35879412	Genome-wide bidirectional CRISPR screens identify mucins as host factors modulating SARS-CoV-2 infection.	Nature genetics	2022
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	35862771	A Multitrait Locus Regulates Sarbecovirus Pathogenesis.	mBio	2022
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	35857635	SARS-CoV-2 infection produces chronic pulmonary epithelial and immune cell dysfunction with fibrosis in mice.	Science translational medicine	2022
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	34710354	Stabilized coronavirus spike stem elicits a broadly protective antibody.	Cell reports	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	34619077	Elicitation of broadly protective sarbecovirus immunity by receptor-binding domain nanoparticle vaccines.	Cell	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	34289384	Prevention and therapy of SARS-CoV-2 and the B.1.351 variant in mice.	Cell reports	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	34270939	COVID-19 vaccine mRNA-1273 elicits a protective immune profile in mice that is not associated with vaccine-enhanced disease upon SARS-CoV-2 challenge.	Immunity	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	34214046	Chimeric spike mRNA vaccines protect against Sarbecovirus challenge in mice.	Science (New York, N.Y.)	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33758837	Chimeric spike mRNA vaccines protect against Sarbecovirus challenge in mice.	bioRxiv : the preprint server for biology	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33561864	SARS-CoV-2 infection is effectively treated and prevented by EIDD-2801.	Nature	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33513210	Baseline T cell immune phenotypes predict virologic and disease control upon SARS-CoV infection in Collaborative Cross mice.	PLoS pathogens	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33469219	Publisher Correction: A mouse-adapted model of SARS-CoV-2 to test COVID-19 countermeasures.	Nature	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33427208	Dissecting strategies to tune the therapeutic potential of SARS-CoV-2-specific monoclonal antibody CR3022.	JCI insight	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33348607	A Newcastle Disease Virus (NDV) Expressing a Membrane-Anchored Spike as a Cost-Effective Inactivated SARS-CoV-2 Vaccine.	Vaccines	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33232870	Newcastle disease virus (NDV) expressing the spike protein of SARS-CoV-2 as a live virus vaccine candidate.	EBioMedicine	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33211088	Antibody potency, effector function, and combinations in protection and therapy for SARS-CoV-2 infection in vivo.	The Journal of experimental medicine	2021
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33184236	SARS-CoV-2 D614G variant exhibits efficient replication ex vivo and transmission in vivo.	Science (New York, N.Y.)	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33160446	Elicitation of Potent Neutralizing Antibody Responses by Designed Protein Nanoparticle Vaccines for SARS-CoV-2.	Cell	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33139569	Rapid identification of a human antibody with high prophylactic and therapeutic efficacy in three animal models of SARS-CoV-2 infection.	Proceedings of the National Academy of Sciences of the United States of America	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33031744	A Mouse-Adapted SARS-CoV-2 Induces Acute Lung Injury and Mortality in Standard Laboratory Mice.	Cell	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	33024969	SARS-CoV-2 D614G Variant Exhibits Enhanced Replication ex vivo and Earlier Transmission in vivo.	bioRxiv : the preprint server for biology	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32995791	Baseline T cell immune phenotypes predict virologic and disease control upon SARS-CoV infection.	bioRxiv : the preprint server for biology	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32995782	Antibody potency, effector function and combinations in protection from SARS-CoV-2 infection in vivo.	bioRxiv : the preprint server for biology	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32995766	Acute SARS-CoV-2 Infection is Highly Cytopathic, Elicits a Robust Innate Immune Response and is Efficiently Prevented by EIDD-2801.	Research square	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32941803	High Potency of a Bivalent Human VH Domain in SARS-CoV-2 Animal Models.	Cell	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32887790	Cell and animal models of SARS-CoV-2 pathogenesis and immunity.	Disease models & mechanisms	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32854108	A mouse-adapted model of SARS-CoV-2 to test COVID-19 countermeasures.	Nature	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32817941	Elicitation of potent neutralizing antibody responses by designed protein nanoparticle vaccines for SARS-CoV-2.	bioRxiv : the preprint server for biology	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32756549	SARS-CoV-2 mRNA vaccine design enabled by prototype pathogen preparedness.	Nature	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32668216	Remdesivir Inhibits SARS-CoV-2 in Human Lung Cells and Chimeric SARS-CoV Expressing the SARS-CoV-2 RNA Polymerase in Mice.	Cell reports	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32577634	SARS-CoV-2 mRNA Vaccine Development Enabled by Prototype Pathogen Preparedness.	bioRxiv : the preprint server for biology	2020
(Leist Sarah [AUTH] University of North Carolina [AFFL] OR Leist S [AUTH] University of North Carolina [AFFL]) AND (Schafer Alexandra [AUTH] University of North Carolina [AFFL] OR Schafer A [AUTH] University of North Carolina [AFFL])	32526206	SARS-CoV-2 Reverse Genetics Reveals a Variable Infection Gradient in the Respiratory Tract.	Cell	2020
